," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
2110003,0,0,0,0,0,0,0,0
2110010,0,0,0,0,0,0,0,0
2110011,0,0,0,0,0,0,0,0
2110012,0,0,0,0,0,0,0,0
2110013,0,0,0,0,0,0,0,0
2110100,0,0,0,0,0,0,0,0
2110101,0,0,0,0,0,0,0,0
2110102,0,0,0,0,0,0,0,0
2110103,0,0,0,0,0,0,0,0
2110110,0,0,0,0,0,0,0,0
2110111,0,0,0,0,0,0,0,0
2110112,0,0,0,0,0,0,0,0
2110113,0,0,0,0,0,0,0,0
2111000,0,0,0,0,0,0,0,0
2111001,0,0,0,0,0,0,0,0
2111002,0,0,0,0,0,0,0,0
2111003,0,0,0,0,0,0,0,0
2111010,0,0,0,0,0,0,0,0
2111011,0,0,0,0,0,0,0,0
2111012,0,0,0,0,0,0,0,0
2111013,0,0,0,0,0,0,0,0
2111100,0,0,0,0,0,0,0,0
2111101,0,0,0,0,0,0,0,0
2111102,0,0,0,0,0,0,0,0
2111103,0,0,0,0,0,0,0,0
2111110,0,0,0,0,0,0,0,0
2111111,0,0,0,0,0,0,0,0
2111112,0,0,0,0,0,0,0,0
2111113,0,0,0,0,0,0,0,0
2200000,0,0,0,0,0,0,0,0
2200001,0,0,0,0,0,0,0,0
2200002,0,0,0,0,0,0,0,0
2200003,0,0,0,0,0,0,0,0
2200010,0,0,0,0,0,0,0,0
2200011,0,0,0,0,0,0,0,0
2200012,0,0,0,0,0,0,0,0
2200013,0,0,0,0,0,0,0,0
2200100,0,0,0,0,0,0,0,0
2200101,0,0,0,0,0,0,0,0
2200102,0,0,0,0,0,0,0,0
2200103,0,0,0,0,0,0,0,0
2200110,0,0,0,0,0,0,0,0
2200111,0,0,0,0,0,0,0,0
2200112,0,0,0,0,0,0,0,0
2200113,0,0,0,0,0,0,0,0
2201000,0,0,0,0,0,0,0,0
2201001,0,0,0,0,0,0,0,0
2201002,0,0,0,0,0,0,0,0
2201003,0,0,0,0,0,0,0,0
2201010,0,0,0,0,0,0,0,0
2201011,0,0,0,0,0,0,0,0
2201012,0,0,0,0,0,0,0,0
2201013,0,0,0,0,0,0,0,0
2201100,0,0,0,0,0,0,0,0
